Date ,Transmitted From RTU to FMS,(FMS)Transmitted to backup server,Total Report Requested Count,Reports Generated of same day ,"Reports generated for previous day, F= (G-E)",Total Report Issued Count,CLOT Reports Generated of previous day ,CLOT reports generated on same day,"Total Report Issued Count, J= (H+I)"
21-04-2023,94224,93973,3062,998,1417,2415,67,13,80
22-04-2023,77258,76835,2660,934,2403,3337,52,12,64
23-04-2023,53103,52360,1591,474,1406,1880,38,17,55
24-04-2023,91031,90064,2293,855,1073,1928,55,18,73
25-04-2023,94874,93028,2540,1072,1471,2543,53,21,74
26-04-2023,85517,84664,2611,990,1233,2223,58,28,86
27-04-2023,106208,106118,2923,1122,1714,2836,83,15,98
28-04-2023,92479,92419,4501,1236,1652,2888,77,19,96
29-04-2023,80767,80591,2813,1209,2117,3326,63,4,67
30-04-2023,53629,53628,1596,522,2319,2841,43,9,52
01-05-2023,71460,71388,1747,829,1364,2193,38,11,49
02-05-2023,99171,99108,2543,1146,1017,2163,51,16,67
03-05-2023,100472,100391,2633,970,1877,2847,47,10,57
04-05-2023,102624,101197,2262,497,881,1378,63,1,64
05-05-2023,97626,96262,2107,813,370,1183,15,0,15
06-05-2023,98117,96626,2596,983,402,1385,39,0,39
07-05-2023,59157,58693,1453,383,2820,3203,35,0,35
08-05-2023,96346,94772,1914,565,1800,2365,66,0,66
09-05-2023,105363,103263,2495,969,1369,2338,111,0,111
10-05-2023,104000,102021,3153,799,3074,3873,154,20,174
11-05-2023,113484,111828,20082,860,3270,4130,55,13,68
12-05-2023,114740,112463,5707,961,2504,3465,121,0,121
13-05-2023,97118,95364,2811,931,1897,2828,94,17,111
14-05-2023,55307,54536,2560,1092,1435,2527,67,16,83
15-05-2023,92631,118123,1192,442,733,1175,70,3,73
16-05-2023,110280,112839,2381,1166,1161,2327,64,4,68
17-05-2023,106361,104660,3108,1118,1993,3111,46,5,51
18-05-2023,106260,103506,2926,985,1933,2918,56,6,62
19-05-2023,105227,103316,3027,747,1854,2601,70,2,72
20-05-2023,104820,101893,2341,485,2036,2521,63,1,64
21-05-2023,59730,58700,3049,1127,1904,3031,34,6,40
22-05-2023,112953,110443,2447,788,1151,1939,46,1,47
23-05-2023,122589,119899,2632,1178,1917,3095,58,6,64
24-05-2023,106629,105210,2306,476,1695,2171,63,4,67
25-05-2023,102663,100808,1869,726,880,1606,37,0,37
26-05-2023,106733,104498,3229,652,2847,3499,61,1,62
27-05-2023,101396,99338,4417,1150,2768,3918,50,8,58
28-05-2023,69414,68086,2154,1200,1443,2643,35,4,39
29-05-2023,102767,100896,2476,1516,934,2450,38,6,44
30-05-2023,108949,107073,2924,1624,1286,2910,22,5,27
31-05-2023,116439,114710,2155,1083,1027,2110,30,4,34
01-06-2023,101074,99791,3086,1295,1757,3052,46,13,59
02-06-2023,101499,100045,2865,1382,1482,2864,29,9,38
03-06-2023,104675,103192,2675,1468,1200,2668,36,13,49
04-06-2023,57988,57368,1925,871,1056,1927,39,9,48
05-06-2023,101737,100667,1609,1188,414,1602,33,7,40
06-06-2023,114016,113048,2671,1096,1221,2317,43,4,47
07-06-2023,126499,125325,2277,1183,1449,2632,36,7,43
08-06-2023,130824,129047,2623,1060,1526,2586,59,8,67
09-06-2023,114594,113869,2716,1079,1603,2682,61,7,68
10-06-2023,91773,90452,2727,1354,1370,2724,51,11,62
11-06-2023,62627,61917,1672,715,954,1669,50,11,61
12-06-2023,107776,105378,1640,1181,446,1627,46,13,59
13-06-2023,98092,97021,2363,1291,1069,2360,48,10,58
14-06-2023,110158,108431,2220,1250,953,2203,58,8,66
15-06-2023,117273,115649,2679,1542,1070,2612,77,23,100
16-06-2023,112001,109949,2466,1650,855,2505,68,11,79
17-06-2023,104935,103759,1926,1205,726,1931,51,12,63
18-06-2023,64374,63982,794,423,366,789,25,5,30
19-06-2023,91092,90300,2497,852,931,1783,19,8,27
20-06-2023,100540,99025,2314,1312,1701,3013,58,14,72
21-06-2023,113256,112296,1972,776,1188,1964,72,24,96
22-06-2023,116698,115049,2603,923,1678,2601,60,14,74
23-06-2023,116301,115118,3100,1120,1631,2751,75,10,85
24-06-2023,105558,104250,2454,1384,1374,2758,56,15,71
25-06-2023,71385,70197,1388,694,712,1406,64,15,79
26-06-2023,96119,94879,1752,1216,517,1733,49,18,67
27-06-2023,94977,93391,1903,342,944,1286,50,10,60
28-06-2023,93298,91671,2085,855,1758,2613,47,5,52
29-06-2023,88295,87493,2242,994,1305,2299,82,22,104
30-06-2023,94429,92987,1960,1043,897,1940,66,25,91
01-07-2023,92515,91573,1724,1051,680,1731,33,7,40
02-07-2023,51639,50986,1206,555,650,1205,60,17,77
03-07-2023,103419,102250,1584,1066,497,1563,51,19,70
04-07-2023,112481,111326,2909,982,1894,2876,38,8,46
05-07-2023,100622,99684,2200,1058,1141,2199,29,11,40
06-07-2023,99878,97813,2087,1058,1024,2082,38,22,60
07-07-2023,97588,96627,2041,952,1091,2043,32,20,52
08-07-2023,106562,105670,2048,1057,986,2043,68,27,95
09-07-2023,,,,708,,,38,13,51
10-07-2023,99318,98083,1376,956,418,1374,16,4,20
11-07-2023,139176,136854,2634,786,1850,2636,34,6,40
